DEB [20260130-10:28:03.930] thr=1   paramiko.transport: starting thread (client mode): 0x90a167e0
DEB [20260130-10:28:04.227] thr=1   paramiko.transport: Switch to new keys ...
DEB [20260130-10:28:04.227] thr=2   paramiko.transport: Adding ssh-rsa host key for 192.168.0.232: b'f1804135c14942d708be5c72f7cd5bb1'
DEB [20260130-10:28:04.228] thr=2   paramiko.transport: Trying SSH key b'49a84b59a03af888a532f6e65eeb0841'
DEB [20260130-10:28:04.229] thr=1   paramiko.transport: userauth is OK
DEB [20260130-10:28:04.230] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20260130-10:28:04.230] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20260130-10:28:04.230] thr=1   paramiko.transport: Server did not send a server-sig-algs list; defaulting to our first preferred algo ('rsa-sha2-512')
DEB [20260130-10:28:04.230] thr=1   paramiko.transport: NOTE: you may use the 'disabled_algorithms' SSHClient/Transport init kwarg to disable that or other algorithms if your server does not support them!
INF [20260130-10:28:04.234] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20260130-10:31:37.427] thr=1   paramiko.transport: starting thread (client mode): 0x8ad81490
DEB [20260130-10:31:37.427] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20260130-10:31:37.457] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-ROSSSH
INF [20260130-10:31:37.457] thr=1   paramiko.transport: Connected (version 2.0, client ROSSSH)
DEB [20260130-10:31:37.459] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20260130-10:31:37.459] thr=1   paramiko.transport: kex algos: diffie-hellman-group-exchange-sha256, diffie-hellman-group-exchange-sha1, diffie-hellman-group14-sha1, diffie-hellman-group1-sha1
DEB [20260130-10:31:37.460] thr=1   paramiko.transport: server key: ssh-dss, rsa-sha2-256, ssh-rsa
DEB [20260130-10:31:37.460] thr=1   paramiko.transport: client encrypt: aes128-ctr, aes192-ctr, aes256-ctr, aes128-cbc, aes192-cbc, aes256-cbc, blowfish-cbc, 3des-cbc
DEB [20260130-10:31:37.460] thr=1   paramiko.transport: server encrypt: aes128-ctr, aes192-ctr, aes256-ctr, aes128-cbc, aes192-cbc, aes256-cbc, blowfish-cbc, 3des-cbc
DEB [20260130-10:31:37.460] thr=1   paramiko.transport: client mac: hmac-sha1, hmac-md5
DEB [20260130-10:31:37.460] thr=1   paramiko.transport: server mac: hmac-sha1, hmac-md5
DEB [20260130-10:31:37.460] thr=1   paramiko.transport: client compress: none
DEB [20260130-10:31:37.460] thr=1   paramiko.transport: server compress: none
DEB [20260130-10:31:37.461] thr=1   paramiko.transport: client lang: <none>
DEB [20260130-10:31:37.461] thr=1   paramiko.transport: server lang: <none>
DEB [20260130-10:31:37.461] thr=1   paramiko.transport: kex follows: False
DEB [20260130-10:31:37.461] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20260130-10:31:37.461] thr=1   paramiko.transport: Kex: diffie-hellman-group-exchange-sha256
DEB [20260130-10:31:37.461] thr=1   paramiko.transport: HostKey: rsa-sha2-256
DEB [20260130-10:31:37.462] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20260130-10:31:37.462] thr=1   paramiko.transport: MAC: hmac-sha1
DEB [20260130-10:31:37.462] thr=1   paramiko.transport: Compression: none
DEB [20260130-10:31:37.462] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20260130-10:31:37.464] thr=1   paramiko.transport: Got server p (1024 bits)
DEB [20260130-10:31:37.729] thr=1   paramiko.transport: kex engine KexGexSHA256 specified hash_algo <built-in function openssl_sha256>
DEB [20260130-10:31:37.730] thr=1   paramiko.transport: Switch to new keys ...
DEB [20260130-10:31:37.731] thr=2   paramiko.transport: Adding ssh-rsa host key for 192.168.0.232: b'f1804135c14942d708be5c72f7cd5bb1'
DEB [20260130-10:31:37.731] thr=2   paramiko.transport: Trying SSH key b'49a84b59a03af888a532f6e65eeb0841'
DEB [20260130-10:31:37.733] thr=1   paramiko.transport: userauth is OK
DEB [20260130-10:31:37.734] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20260130-10:31:37.734] thr=1   paramiko.transport: Our pubkey algorithm list: ['ssh-rsa']
DEB [20260130-10:31:37.734] thr=1   paramiko.transport: Server did not send a server-sig-algs list; defaulting to our first preferred algo ('ssh-rsa')
DEB [20260130-10:31:37.734] thr=1   paramiko.transport: NOTE: you may use the 'disabled_algorithms' SSHClient/Transport init kwarg to disable that or other algorithms if your server does not support them!
INF [20260130-10:31:37.744] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20260130-10:31:37.745] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20260130-10:31:37.747] thr=1   paramiko.transport: [chan 0] Max packet out: 262144 bytes
DEB [20260130-10:31:37.747] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20260130-10:31:37.748] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20260130-10:31:37.754] thr=1   paramiko.transport: [chan 0] EOF sent (0)
